name	description	sourcemtoverride	samplemtoverride	host_age	role	host_life_stage	body_habitat	body_product	body_site	sample_type	collection_timestamp	colony_tetracycline	country	depth	elevation	env_biome	env_feature	env_matter	host_common_name	host_subject_id	larval_tetracycline	latitude	longitude	sex
ERS1267970	Sample 1064.G.CV268 : Whole intestine tissue, with food content.			13 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/11/11	TRUE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV268	TRUE	18.22	-65.99	female
ERS1267971	Sample 1064.G.CV27 : Whole intestine tissue, with food content.			7 days	nurse		UBERON:multi-cellular organism		UBERON:intestine	Gut	1/1/50	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV27	FALSE	18.22	-65.99	female
ERS1267972	Sample 1064.G.CV281 : Whole intestine tissue, with food content.			8 days	nurse		UBERON:multi-cellular organism		UBERON:intestine	Gut	6/13/08	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV281	FALSE	18.22	-65.99	female
ERS1267973	Sample 1064.G.CV282 : Whole intestine tissue, with food content.			8 days	nurse		UBERON:multi-cellular organism		UBERON:intestine	Gut	6/13/08	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV282	FALSE	18.22	-65.99	female
ERS1267974	Sample 1064.G.CV283 : Whole intestine tissue, with food content.			8 days	nurse		UBERON:multi-cellular organism		UBERON:intestine	Gut	6/13/08	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV283	FALSE	18.22	-65.99	female
ERS1267975	Sample 1064.G.CV284 : Whole intestine tissue, with food content.			8 days	nurse		UBERON:multi-cellular organism		UBERON:intestine	Gut	6/13/08	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV284	FALSE	18.22	-65.99	female
ERS1267976	Sample 1064.G.CV285 : Whole intestine tissue, with food content.			8 days	nurse		UBERON:multi-cellular organism		UBERON:intestine	Gut	6/13/08	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV285	FALSE	18.22	-65.99	female
ERS1267977	Sample 1064.G.CV286 : Whole intestine tissue, with food content.			8 days	nurse		UBERON:multi-cellular organism		UBERON:intestine	Gut	6/13/08	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV286	FALSE	18.22	-65.99	female
ERS1267978	Sample 1064.G.CV287 : Whole intestine tissue, with food content.			9 days	nurse		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/16/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV287	FALSE	18.22	-65.99	female
ERS1267979	Sample 1064.G.CV288 : Whole intestine tissue, with food content.			9 days	nurse		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/16/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV288	FALSE	18.22	-65.99	female
ERS1267980	Sample 1064.G.CV289 : Whole intestine tissue, with food content.			9 days	nurse		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/16/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV289	FALSE	18.22	-65.99	female
ERS1267981	Sample 1064.G.CV290 : Whole intestine tissue, with food content.			9 days	nurse		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/16/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV290	FALSE	18.22	-65.99	female
ERS1267982	Sample 1064.G.CV291 : Whole intestine tissue, with food content.			9 days	nurse		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/16/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV291	FALSE	18.22	-65.99	female
ERS1267983	Sample 1064.G.CV292 : Whole intestine tissue, with food content.			9 days	nurse		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/16/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV292	FALSE	18.22	-65.99	female
ERS1267984	Sample 1064.G.CV293 : Whole intestine tissue, with food content.			13 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	6/13/08	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV293	FALSE	18.22	-65.99	female
ERS1267985	Sample 1064.G.CV294 : Whole intestine tissue, with food content.			13 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	6/13/08	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV294	FALSE	18.22	-65.99	female
ERS1267986	Sample 1064.G.CV295 : Whole intestine tissue, with food content.			13 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	10/25/08	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV295	FALSE	18.22	-65.99	female
ERS1267987	Sample 1064.G.CV296 : Whole intestine tissue, with food content.			13 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	10/23/08	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV296	FALSE	18.22	-65.99	female
ERS1267988	Sample 1064.G.CV297 : Whole intestine tissue, with food content.			13 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	10/24/08	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV297	FALSE	18.22	-65.99	female
ERS1267989	Sample 1064.G.CV298 : Whole intestine tissue, with food content.			13 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	10/23/08	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV298	FALSE	18.22	-65.99	female
ERS1267990	Sample 1064.G.CV299 : Whole intestine tissue, with food content.			12 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/16/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV299	FALSE	18.22	-65.99	female
ERS1267991	Sample 1064.G.CV300 : Whole intestine tissue, with food content.			12 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/16/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV300	FALSE	18.22	-65.99	female
ERS1267992	Sample 1064.G.CV301 : Whole intestine tissue, with food content.			12 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/11/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV301	FALSE	18.22	-65.99	female
ERS1267993	Sample 1064.G.CV302 : Whole intestine tissue, with food content.			12 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/11/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV302	FALSE	18.22	-65.99	female
ERS1267994	Sample 1064.G.CV303 : Whole intestine tissue, with food content.			12 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/11/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV303	FALSE	18.22	-65.99	female
ERS1267995	Sample 1064.G.CV304 : Whole intestine tissue, with food content.			12 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/11/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV304	FALSE	18.22	-65.99	female
ERS1267996	Sample 1064.G.CV305 : Whole intestine tissue, with food content.			1 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/12/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV305	FALSE	18.22	-65.99	female
ERS1267997	Sample 1064.G.CV306 : Whole intestine tissue, with food content.			1 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/12/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV306	FALSE	18.22	-65.99	female
ERS1267998	Sample 1064.G.CV307 : Whole intestine tissue, with food content.			1 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/12/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV307	FALSE	18.22	-65.99	female
ERS1267999	Sample 1064.G.CV308 : Whole intestine tissue, with food content.			1 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/12/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV308	FALSE	18.22	-65.99	female
ERS1268000	Sample 1064.G.CV309 : Whole intestine tissue, with food content.			1 days	worker		UBERON:multi-cellular organism		UBERON:intestine	Gut	7/12/11	FALSE	GAZ:Puerto Rico	0	43.1		ENVO:insecta-associated habitat		honey bee	G-CV309	FALSE	18.22	-65.99	female
